SMILES,delta_d,delta_p,delta_h,sol_param
CC=O,14.7,12.5,7.9,20.85065946
CC=NO,16.3,4,20.2,26.26271121
CC(N)=O,17.3,18.7,22.4,33.92255887
CC(=O)Nc1ccccc1,20.6,13.3,12.4,27.4774453
CC(=O)O,14.5,8,13.5,21.36586062
CC(=O)OC(C)=O,16,11.7,10.2,22.29192679
CC(C)=O,15.5,10.4,7,19.93514485
CC(C)(O)C#N,16.6,12.2,15.5,25.78080681
CON=C(C)C,14.7,4.6,4.6,16.07513608
CC#N,15.3,18,6.1,24.39877046
CC(=O)c1ccccc1,19.6,8.6,3.7,21.72118781
CC(C)=NO,16.3,3.7,10.9,19.95469869
C=CC=COC(C)=O,16.1,4.4,8.3,18.64027897
CC(=O)N1CCCCCC1=O,18.9,8.7,4.8,21.35275158
CC(=O)N1CCOCC1,18.3,5.3,7.8,20.58688903
CC(=O)N1CCCCC1,18.5,10,6.5,22.0113607
CC(=O)N1CCCC1=O,17.8,13.1,8.3,23.60804947
CC(=O)Oc1ccccc1C(=O)O,19,6.6,9.3,22.15964801
CC(=O)c1cccs1,19.1,12.2,9.3,24.497755
CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC,16.6,3.5,8.6,19.02025236
CC(=O)CC(C)=O,16.1,11.2,6.2,20.56915166
CC(=O)Br,16.7,10.6,5.2,20.45213925
CC(=O)Cl,16.2,11.2,5.8,20.53095224
C#C,14.4,4.2,11.9,19.14706244
CC(=O)F,14.7,14,5.7,21.0850658
c1ccc2nc3ccccc3cc2c1,21.7,5.9,2,22.57653649
C=CC=O,15,7.2,7.8,18.3760714
C=CC(N)=O,15.8,12.1,12.8,23.66199484
C=CC(=O)O,17.7,6.4,14.9,24.00541606
C=CC#N,16,12.8,6.8,21.58888603
C=CC(=O)Cl,16.2,11.6,5.4,20.64364309
O=C(O)CCCCC(=O)O,17.1,9,14.6,24.21920725
CNCC(O)c1ccc(O)c(O)c1,20.5,8.7,19.9,29.86553197
O=C(CCl)c1ccccc1,20,9.6,5.7,22.90523958
C=CCOC(C)=O,15.7,4.5,8,18.18625855
C=CCCC(=O)O,16.7,4.7,11.3,20.70434737
C=CCOC(=O)CC(C)=O,15.9,6.9,8.6,19.34890178
C=CCCC#N,16.3,11.2,5,20.39926469
C=CCO,16.2,10.8,16.8,25.71614279
C=CCN,15.5,5.7,10.6,19.62396494
C=CCBr,16.5,7.3,4.9,18.69625631
C=CCCl,17,6.2,2.3,18.24088814
C=CCC#N,16,14.3,5.6,22.17769149
C=CCOCC,15,4.8,5.1,16.55445559
C=CCF,14.9,6.4,1,16.2471536
C=CCOC=O,15.7,5.4,8.8,18.79068918
C=CCI,17.4,6.4,3.3,18.83109131
[C-]#[N+]CC=C,16.1,13,5.4,21.38621051
C=CCOC(C)C,15,4.1,7.1,17.09444354
C=CCN=C=S,17,11.3,8.5,22.1119877
C=CCS,16.4,6.2,7.9,19.23044461
C=CCOC(=O)C(=C)C,15.2,4.1,7.5,17.43846324
C=CCOC,15,4.3,5.9,16.68232598
CC(C)(N)CO,17.2,22.5,23.3,36.67396897
NC1(C(=O)O)CC1,17,6.3,13.6,22.66384786
Nc1ccccn1,20.4,8.1,12.2,25.11194935
Nc1ccncc1,20.4,16.1,12.9,29.01344516
N,13.7,15.7,17.8,27.40474411
CC(N)Cc1ccccc1,17.5,4.3,6.3,19.09004976
CCCCCOC(C)=O,15.8,3.3,6.1,17.25514416
CC=Cc1ccc(OC)cc1,19,4.3,8.7,21.33494786
Nc1ccccc1,19.4,5.1,10.2,22.50355527
COc1ccccc1C=O,19.4,11.9,8.3,24.2251935
COc1ccccc1N,19.5,5.4,11.4,23.22434068
COc1ccc(N)cc1,19.9,6.5,11.3,23.78970366
COc1ccccc1,17.8,4.1,6.7,19.45610444
O=C1c2ccccc2C(=O)c2ccccc21,20.3,7.6,4.8,22.2011261
O=C1OC(C(O)CO)C(O)=C1O,18,12.6,27.6,35.27775503
CCN=[N+]=[N-],15.9,8.9,12.9,22.32554591
C=CCN=[N+]=[N-],16.8,7.7,13.4,22.82739582
ClC(Cl)c1ccccc1,19.9,6.6,2.4,21.10284341
O=Cc1ccccc1,19.4,7.4,5.3,21.42918571
NC(=O)c1ccccc1,21.2,14.7,11.2,28.12418888
c1ccccc1,18.4,0,2,18.50837648
Oc1cccc(O)c1,18,8.4,21,28.90605473
c1ccc2[nH]cnc2c1,20.6,14.9,11,27.70144401
c1ccc2oncc2c1,20.6,11.5,8.8,25.18034948
c1ccc2occc2c1,18.7,5.1,5.7,20.20371253
O=C(O)c1ccccc1,18.2,6.9,9.8,21.791971
O=C(c1ccccc1)C(O)c1ccccc1,19.9,9.7,10.7,24.5884119
N#Cc1ccccc1,17.4,9,3.3,19.86579976
O=C(c1ccccc1)c1ccccc1,19.6,8.6,5.7,22.14971783
c1ccc2scnc2c1,20.6,5.2,8.4,22.84644392
c1ccc2n[nH]nc2c1,18.7,15.6,12.4,27.32782465
ClC(Cl)(Cl)c1ccccc1,20.2,6.6,3.2,21.490463
O=C(Cl)c1ccccc1,20.7,8.2,4.5,22.71519315
CC(=O)OCc1ccccc1,18.3,5.7,6,20.08432224
OCc1ccccc1,18.4,6.3,13.7,23.78949348
NCc1ccccc1,19.2,4.6,11.7,22.94972767
O=C(OCc1ccccc1)c1ccccc1,20,5.1,5.2,21.28497122
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,19,11.2,3.1,22.27217996
ClCc1ccccc1,18.8,7.1,2.6,20.26351401
C=C(C)C(=O)OCc1ccccc1,16.8,4.1,4.1,17.77245059
O=C1CCCN1Cc1ccccc1,18.2,6.1,5.6,19.99524944
CCOCc1ccccc1,18.4,3.8,3.8,19.16872453
C1CCC(C2CCCCC2)CC1,18.6,0,0,18.6
c1ccc(-c2ccccc2)cc1,19.7,1,2,19.82649742
NC(=O)NC(N)=O,20,14.6,18.8,31.09019138
B.[C-]#[O+],17,10.2,6.9,20.99166501
ClB(Cl)Cl,16.6,2.5,0,16.7871975
BrBr,18.2,2.1,0,18.32075326
C=C(Br)CO,17.1,9.9,16.2,25.55112522
C=C(C)Br,16.1,6,4.9,17.86672886
CC=CBr,16.3,6.4,5,18.21126025
C=CCCBr,16.5,6,4.5,18.12456896
C=C=CCBr,17,6.5,4.7,18.79734024
O=[N+]([O-])c1ccc(Br)cc1C(F)(F)F,20,6,4.9,21.44784371
CCOc1ccc(Br)cc1,19.5,7.7,5.3,21.62475433
C#CBr,15.7,9.9,5.6,19.38710912
COc1ccccc1Br,19.8,8.4,6.7,22.5275387
Brc1ccccc1,20.5,5.5,4.1,21.61735414
N#Cc1ccc(Br)cc1,20.4,9.3,5.8,23.157936
O=C(Cl)c1ccc(Br)cc1,20.2,6.5,5.5,21.92122259
CCC(C)Br,16.3,7.7,4.4,18.55640051
Clc1ccccc1Br,20.3,7.7,4.6,22.19324221
