SMILES,delta_d,delta_p,delta_h,canon_SMILES
CC=O,14.7,12.5,7.9,CC=O
CC=NO,16.3,4,20.2,CC=NO
CC(=O)N,17.3,18.7,22.4,CC(N)=O
CC(=O)NC1=CC=CC=C1,20.6,13.3,12.4,CC(=O)Nc1ccccc1
CC(=O)O,14.5,8,13.5,CC(=O)O
CC(=O)OC(=O)C,16,11.7,10.2,CC(=O)OC(C)=O
CC(=O)C,15.5,10.4,7,CC(C)=O
CC(C)(C#N)O,16.6,12.2,15.5,CC(C)(O)C#N
CC(=NOC)C,14.7,4.6,4.6,CON=C(C)C
CC#N,15.3,18,6.1,CC#N
CC(=O)C1=CC=CC=C1,19.6,8.6,3.7,CC(=O)c1ccccc1
CC(=NO)C,16.3,3.7,10.9,CC(C)=NO
CC(=O)OC=CC=C,16.1,4.4,8.3,C=CC=COC(C)=O
CC(=O)N1CCCCCC1=O,18.9,8.7,4.8,CC(=O)N1CCCCCC1=O
CC(=O)N1CCOCC1,18.3,5.3,7.8,CC(=O)N1CCOCC1
CC(=O)N1CCCCC1,18.5,10,6.5,CC(=O)N1CCCCC1
CC(=O)N1CCCC1=O,17.8,13.1,8.3,CC(=O)N1CCCC1=O
CC(=O)OC1=CC=CC=C1C(=O)O,19,6.6,9.3,CC(=O)Oc1ccccc1C(=O)O
CC(=O)C1=CC=CS1,19.1,12.2,9.3,CC(=O)c1cccs1
CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)OC(=O)C,16.6,3.5,8.6,CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC
CC(=O)CC(=O)C,16.1,11.2,6.2,CC(=O)CC(C)=O
CC(=O)Br,16.7,10.6,5.2,CC(=O)Br
CC(=O)Cl,16.2,11.2,5.8,CC(=O)Cl
C#C,14.4,4.2,11.9,C#C
CC(=O)F,14.7,14,5.7,CC(=O)F
C1=CC=C2C(=C1)C=C3C=CC=CC3=N2,21.7,5.9,2,c1ccc2nc3ccccc3cc2c1
C=CC=O,15,7.2,7.8,C=CC=O
C=CC(=O)N,15.8,12.1,12.8,C=CC(N)=O
C=CC(=O)O,17.7,6.4,14.9,C=CC(=O)O
C=CC#N,16,12.8,6.8,C=CC#N
C=CC(=O)Cl,16.2,11.6,5.4,C=CC(=O)Cl
C(CCC(=O)O)CC(=O)O,17.1,9,14.6,O=C(O)CCCCC(=O)O
CNCC(C1=CC(=C(C=C1)O)O)O,20.5,8.7,19.9,CNCC(O)c1ccc(O)c(O)c1
C1=CC=C(C=C1)C(=O)CCl,20,9.6,5.7,O=C(CCl)c1ccccc1
CC(=O)OCC=C,15.7,4.5,8,C=CCOC(C)=O
C=CCCC(=O)O,16.7,4.7,11.3,C=CCCC(=O)O
CC(=O)CC(=O)OCC=C,15.9,6.9,8.6,C=CCOC(=O)CC(C)=O
C=CCCC#N,16.3,11.2,5,C=CCCC#N
C=CCO,16.2,10.8,16.8,C=CCO
C=CCN,15.5,5.7,10.6,C=CCN
C=CCBr,16.5,7.3,4.9,C=CCBr
C=CCCl,17,6.2,2.3,C=CCCl
C=CCC#N,16,14.3,5.6,C=CCC#N
CCOCC=C,15,4.8,5.1,C=CCOCC
C=CCF,14.9,6.4,1,C=CCF
C=CCOC=O,15.7,5.4,8.8,C=CCOC=O
C=CCI,17.4,6.4,3.3,C=CCI
C=CC[N+]#[C-],16.1,13,5.4,[C-]#[N+]CC=C
CC(C)OCC=C,15,4.1,7.1,C=CCOC(C)C
C=CCN=C=S,17,11.3,8.5,C=CCN=C=S
C=CCS,16.4,6.2,7.9,C=CCS
CC(=C)C(=O)OCC=C,15.2,4.1,7.5,C=CCOC(=O)C(=C)C
COCC=C,15,4.3,5.9,C=CCOC
CC(C)(CO)N,17.2,22.5,23.3,CC(C)(N)CO
C1CC1(C(=O)O)N,17,6.3,13.6,NC1(C(=O)O)CC1
C1=CC=NC(=C1)N,20.4,8.1,12.2,Nc1ccccn1
C1=CN=CC=C1N,20.4,16.1,12.9,Nc1ccncc1
N,13.7,15.7,17.8,N
CC(CC1=CC=CC=C1)N,17.5,4.3,6.3,CC(N)Cc1ccccc1
CCCCCOC(=O)C,15.8,3.3,6.1,CCCCCOC(C)=O
CC=CC1=CC=C(C=C1)OC,19,4.3,8.7,CC=Cc1ccc(OC)cc1
C1=CC=C(C=C1)N,19.4,5.1,10.2,Nc1ccccc1
COC1=CC=CC=C1C=O,19.4,11.9,8.3,COc1ccccc1C=O
COC1=CC=CC=C1N,19.5,5.4,11.4,COc1ccccc1N
COC1=CC=C(C=C1)N,19.9,6.5,11.3,COc1ccc(N)cc1
COC1=CC=CC=C1,17.8,4.1,6.7,COc1ccccc1
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,20.3,7.6,4.8,O=C1c2ccccc2C(=O)c2ccccc21
C(C(C1C(=C(C(=O)O1)O)O)O)O,18,12.6,27.6,O=C1OC(C(O)CO)C(O)=C1O
CCN=[N+]=[N-],15.9,8.9,12.9,CCN=[N+]=[N-]
C=CCN=[N+]=[N-],16.8,7.7,13.4,C=CCN=[N+]=[N-]
C1=CC=C(C=C1)C(Cl)Cl,19.9,6.6,2.4,ClC(Cl)c1ccccc1
C1=CC=C(C=C1)C=O,19.4,7.4,5.3,O=Cc1ccccc1
C1=CC=C(C=C1)C(=O)N,21.2,14.7,11.2,NC(=O)c1ccccc1
C1=CC=CC=C1,18.4,0,2,c1ccccc1
C1=CC(=CC(=C1)O)O,18,8.4,21,Oc1cccc(O)c1
C1=CC=C2C(=C1)NC=N2,20.6,14.9,11,c1ccc2[nH]cnc2c1
C1=CC=C2C(=C1)C=NO2,20.6,11.5,8.8,c1ccc2oncc2c1
C1=CC=C2C(=C1)C=CO2,18.7,5.1,5.7,c1ccc2occc2c1
C1=CC=C(C=C1)C(=O)O,18.2,6.9,9.8,O=C(O)c1ccccc1
C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,19.9,9.7,10.7,O=C(c1ccccc1)C(O)c1ccccc1
C1=CC=C(C=C1)C#N,17.4,9,3.3,N#Cc1ccccc1
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,19.6,8.6,5.7,O=C(c1ccccc1)c1ccccc1
C1=CC=C2C(=C1)N=CS2,20.6,5.2,8.4,c1ccc2scnc2c1
C1=CC2=NNN=C2C=C1,18.7,15.6,12.4,c1ccc2n[nH]nc2c1
C1=CC=C(C=C1)C(Cl)(Cl)Cl,20.2,6.6,3.2,ClC(Cl)(Cl)c1ccccc1
C1=CC=C(C=C1)C(=O)Cl,20.7,8.2,4.5,O=C(Cl)c1ccccc1
CC(=O)OCC1=CC=CC=C1,18.3,5.7,6,CC(=O)OCc1ccccc1
C1=CC=C(C=C1)CO,18.4,6.3,13.7,OCc1ccccc1
C1=CC=C(C=C1)CN,19.2,4.6,11.7,NCc1ccccc1
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,20,5.1,5.2,O=C(OCc1ccccc1)c1ccccc1
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,19,11.2,3.1,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
C1=CC=C(C=C1)CCl,18.8,7.1,2.6,ClCc1ccccc1
CC(=C)C(=O)OCC1=CC=CC=C1,16.8,4.1,4.1,C=C(C)C(=O)OCc1ccccc1
C1CC(=O)N(C1)CC2=CC=CC=C2,18.2,6.1,5.6,O=C1CCCN1Cc1ccccc1
CCOCC1=CC=CC=C1,18.4,3.8,3.8,CCOCc1ccccc1
C1CCC(CC1)C2CCCCC2,18.6,0,0,C1CCC(C2CCCCC2)CC1
C1=CC=C(C=C1)C2=CC=CC=C2,19.7,1,2,c1ccc(-c2ccccc2)cc1
C(=O)(N)NC(=O)N,20,14.6,18.8,NC(=O)NC(N)=O
B.[C-]#[O+],17,10.2,6.9,B.[C-]#[O+]
B(Cl)(Cl)Cl,16.6,2.5,0,ClB(Cl)Cl
BrBr,18.2,2.1,0,BrBr
C=C(CO)Br,17.1,9.9,16.2,C=C(Br)CO
CC(=C)Br,16.1,6,4.9,C=C(C)Br
CC=CBr,16.3,6.4,5,CC=CBr
C=CCCBr,16.5,6,4.5,C=CCCBr
C=C=CCBr,17,6.5,4.7,C=C=CCBr
C1=CC(=C(C=C1Br)C(F)(F)F)[N+](=O)[O-],20,6,4.9,O=[N+]([O-])c1ccc(Br)cc1C(F)(F)F
CCOC1=CC=C(C=C1)Br,19.5,7.7,5.3,CCOc1ccc(Br)cc1
C#CBr,15.7,9.9,5.6,C#CBr
COC1=CC=CC=C1Br,19.8,8.4,6.7,COc1ccccc1Br
C1=CC=C(C=C1)Br,20.5,5.5,4.1,Brc1ccccc1
C1=CC(=CC=C1C#N)Br,20.4,9.3,5.8,N#Cc1ccc(Br)cc1
C1=CC(=CC=C1C(=O)Cl)Br,20.2,6.5,5.5,O=C(Cl)c1ccc(Br)cc1
CCC(C)Br,16.3,7.7,4.4,CCC(C)Br
C1=CC=C(C(=C1)Cl)Br,20.3,7.7,4.6,Clc1ccccc1Br
C(Cl)Br,17.3,5.7,3.5,ClCBr
C=CBr,16.1,6.3,2.3,C=CBr
C(Br)(Br)Br,21.4,4.1,6.1,BrC(Br)Br
COCBr,16.9,8.5,7,COCBr
C1=CC=C2C(=C1)C=CC=C2Br,20.3,3.1,4.1,Brc1cccc2ccccc12
C1=CC(=CC=C1[N+](=O)[O-])Br,20.9,9.9,5.9,O=[N+]([O-])c1ccc(Br)cc1
C=CC(=C)Br,16.9,6.4,4.7,C=CC(=C)Br
CCCBr,16.4,7.9,4.8,CCCBr
CC(C)Br,16.1,8.3,4.7,CC(C)Br
C#CCBr,18.1,6.5,5.3,C#CCBr
C=CC1=CC=CC=C1Br,19.5,5.2,5.3,C=Cc1ccccc1Br
C1=CSC(=C1)Br,20.1,5.2,4.6,Brc1cccs1
CC1=CC=CC=C1Br,19.3,5,4.2,Cc1ccccc1Br
CC1=CC=C(C=C1)Br,19.3,6.8,4.1,Cc1ccc(Br)cc1
C(Cl)(Cl)(Cl)Br,18.3,0.8,0,ClC(Cl)(Cl)Br
C(F)(F)(F)Br,9.6,2.4,0,FC(F)(F)Br
CC=C=C,14.7,1.7,6.2,C=C=CC
C=CC=C,14.8,2.8,5.6,C=CC=C
C=CC=CCl,15.6,8.5,2,C=CC=CCl
C=C=CCO,16.2,6.6,16.8,C=C=CCO
C=CC(=CCl)Cl,17,10.7,2.8,C=CC(Cl)=CCl
C=CC=CC#N,16.2,11.7,5.2,C=CC=CC#N
C1C(O1)C2CO2,18.3,14.4,6.2,C1OC1C1CO1
CC(=O)C(=O)C,15.7,5.1,6.8,CC(=O)C(C)=O
C=CC(=O)OCCCCOC(=O)C=C,16.8,9.1,4.2,C=CC(=O)OCCCCOC(=O)C=C
CCCC,14.1,0,0,CCCC
CC(CCO)O,16.6,10,21.5,CC(O)CCO
C(CCO)CO,16.6,15.3,21.7,OCCCCO
CCCCS,16.3,5.3,4.5,CCCCS
CCCCO,16,5.7,15.8,CCCCO
CCC(C)O,15.8,5.7,14.5,CCC(C)O
CCC=C,13.2,1.3,3.9,C=CCC
CC=CC,14.7,1.3,4.1,CC=CC
CC=CC,14.6,0,2.9,CC=CC
C=CCC#N,16.2,14.3,5.6,C=CCC#N
CC=CCOC,15.2,3.4,5,CC=CCOC
CC=CCOC,15.3,4.4,4.3,CC=CCOC
CCCCOCC(COCC)O,15.5,6.5,10.2,CCCCOCC(O)COCC
CCCCOC(=O)C,15.8,3.7,6.3,CCCCOC(C)=O
CCC(C)OC(=O)C,15,3.7,7.6,CCC(C)OC(C)=O
CC(=O)OC(C)(C)C,15.4,6.2,6.2,CC(=O)OC(C)(C)C
CCCCOC(=O)CC(=O)C,16.6,5.8,7.3,CCCCOC(=O)CC(C)=O
CCCCOC(=O)C=C,15.6,6.2,4.9,C=CC(=O)OCCCC
CC(C)(C)O,15.2,5.1,14.7,CC(C)(C)O
CCCCN,16.2,4.5,8,CCCCN
CCCCN,16,20.3,18.4,CCCCN
CCCCOC(=O)C1=CC=CC=C1,18.3,5.6,5.5,CCCCOC(=O)c1ccccc1
CCCCOC(=O)CCC,15.6,2.9,5.6,CCCCOC(=O)CCC
CCCCC1CCCCC1,16.2,0,0.6,CCCCC1CCCCC1
CCCCC1CCCC1,16.4,0,1,CCCCC1CCCC1
CCCCOC=O,15.7,6.5,9.2,CCCCOC=O
CCCCOC(C)C,14.8,5.3,5,CCCCOC(C)C
CCCCOC(=O)C(C)O,15.8,6.5,10.2,CCCCOC(=O)C(C)O
CCCCOC(=O)C(=C)C,15.6,6.4,6.6,C=C(C)C(=O)OCCCC
CCCCCCC(CCCC)CO,16.1,3.6,9.3,CCCCCCC(CO)CCCC
CCCCOC(=O)CC,15.7,5.5,5.9,CCCCOC(=O)CC
CCCCOC(=O)C1=CC=CC=C1O,17.9,4.8,11.7,CCCCOC(=O)c1ccccc1O
CCCCCCCCCCCCCCCCCC(=O)OCCCC,14.5,3.7,3.5,CCCCCCCCCCCCCCCCCC(=O)OCCCC
CCCCC1=CC=CC(=C1)C,17.4,0.1,1,CCCCc1cccc(C)c1
CCCCC1=CC=CC=C1,17.4,0.1,1.1,CCCCc1ccccc1
CC1C(OC(=O)O1)C,18,16.8,3.1,CC1OC(=O)OC1C
CCC1CO1,16.3,6.2,5.9,CCC1CO1
CCCCC1=CC=CC=C1C,17.6,0.1,1,CCCCc1ccccc1C
CCCCC1=CC=C(C=C1)C,17.4,0.1,1,CCCCc1ccc(C)cc1
C(#CC#N)C#N,15.2,16.2,8,N#CC#CC#N
CCCC=O,15.6,10.1,6.2,CCCC=O
CCCC(=O)N,16.9,13.7,12.3,CCCC(N)=O
CCCC(=O)O,14.9,4.1,10.6,CCCC(=O)O
CCCC(=O)OC(=O)CCC,16,6.3,7.7,CCCC(=O)OC(=O)CCC
C1CC(=O)OC1,19,16.6,7.4,O=C1CCCO1
CCCC#N,15.3,12.4,5.1,CCCC#N
CCCC(=O)Cl,16.8,9.4,4.8,CCCC(=O)Cl
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,19.5,10.1,13,Cn1c(=O)c2c(ncn2C)n(C)c1=O
C1CCC(=O)OCC1,19.7,15,7.4,O=C1CCCCCO1
C1=CC=C2C(=C1)C3=CC=CC=C3N2,21.7,6.4,6.2,c1ccc2c(c1)[nH]c1ccccc12
C(=O)=O,15.7,6.3,5.7,O=C=O
C(=S)=S,20.5,0,0.6,S=C=S
C(=S)=S,19.9,5.8,0.6,S=C=S
C(Cl)(Cl)(Cl)Cl,17.8,0,0.6,ClC(Cl)(Cl)Cl
C(Cl)(Cl)(Cl)Cl,16.1,8.3,0,ClC(Cl)(Cl)Cl
C(#N)C(=O)C#N,15,6.3,8,N#CC(=O)C#N
CCCCCCC(CC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC(CCCCCC)O)OC(=O)CCCCCCCC=CCC(CCCCCC)O)O,15.9,4.6,12,CCCCCCC(O)CC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC(O)CCCCCC)OC(=O)CCCCCCCC=CCC(O)CCCCCC
CCCCCCCCCCCCCCCCO,15.1,3.7,8.1,CCCCCCCCCCCCCCCCO
C(=O)C(Cl)(Cl)Cl,17.2,7.4,7.6,O=CC(Cl)(Cl)Cl
ClCl,17.3,10,0,ClCl
C(C=O)Cl,16.2,16.1,9,O=CCCl
C(C(=O)O)Cl,17.7,10.4,12.3,O=C(O)CCl
CC(=O)C1=CC=C(C=C1)Cl,19.6,7.6,4,CC(=O)c1ccc(Cl)cc1
C(C=CCl)O,17.2,10.3,16.5,OCC=CCl
C=C(CO)Cl,17.1,10.2,16.4,C=C(Cl)CO
C=CC(=O)OCCl,15.9,7.3,8.5,C=CC(=O)OCCl
CCCCCCl,16,6.9,1.9,CCCCCCl
CC([N+](=O)[O-])Cl,16.8,13.5,4.7,CC(Cl)[N+](=O)[O-]
CCC([N+](=O)[O-])Cl,16.8,13,4.5,CCC(Cl)[N+](=O)[O-]
C(CO)CCl,17.5,5.7,14.7,OCCCCl
C=C=CCCl,16.6,8,6.7,C=C=CCCl
CC=CCCl,16.2,7.7,2,CC=CCCl
CCOC1=CC=CC=C1Cl,19.2,8.1,4.4,CCOc1ccccc1Cl
CCC1=CC=CC=C1Cl,18.9,4.9,2.2,CCc1ccccc1Cl
CC(C)(C)Cl,15.6,7.6,2,CC(C)(C)Cl
CC(=C)CCl,16.2,5.6,2,C=C(C)CCl
CC(=CCl)C,16.1,7.1,4.2,CC(C)=CCl
CC1=C(C=CC=C1Cl)[N+](=O)[O-],20.3,9.6,3.8,Cc1c(Cl)cccc1[N+](=O)[O-]
CC1=C(C=C(C=C1)Cl)[N+](=O)[O-],19.9,11.8,3.8,Cc1ccc(Cl)cc1[N+](=O)[O-]
CCOC1=CC=C(C=C1)Cl,19.3,6.3,4.4,CCOc1ccc(Cl)cc1
CC1=CC(=C(C=C1)N)Cl,19.7,7.4,8.9,Cc1ccc(N)c(Cl)c1
CC1=CC(=C(C=C1)Cl)O,19,7.7,13.1,Cc1ccc(Cl)c(O)c1
C(C(=O)N)Cl,17.6,12.4,12.8,NC(=O)CCl
CC(=O)CCl,16.8,9.6,5.5,CC(=O)CCl
C(C#N)Cl,17.4,13.6,2,N#CCCl
C(C(=O)Cl)Cl,17.5,9.2,5.5,O=C(Cl)CCl
C#CCl,16.2,2.1,2.5,C#CCl
CC(=O)OC(C(=C)Cl)OC(=O)C,16.7,7.3,8.8,C=C(Cl)C(OC(C)=O)OC(C)=O
C1=CC(=CC(=C1)Cl)N,20.6,9.9,9.8,Nc1cccc(Cl)c1
COC1=CC=C(C=C1)Cl,19.6,7.8,6.7,COc1ccc(Cl)cc1
C1=CC(=CC=C1C=O)Cl,19.9,7.2,5.6,O=Cc1ccc(Cl)cc1
C1=CC=C(C=C1)Cl,19,4.3,2,Clc1ccccc1
C1=CC(=CC=C1C#N)Cl,19.5,8,4.1,N#Cc1ccc(Cl)cc1
C1=CC(=CC=C1C(Cl)(Cl)Cl)Cl,20.3,5.5,3.5,Clc1ccc(C(Cl)(Cl)Cl)cc1
C1=CC(=CC=C1C(=O)Cl)Cl,19.9,6.7,5.1,O=C(Cl)c1ccc(Cl)cc1
C1=CC(=CC=C1CO)Cl,19.6,7.5,13,OCc1ccc(Cl)cc1
C1=CC(=CC(=C1)Cl)CCl,19.9,9.3,2.6,ClCc1cccc(Cl)c1
CCCCCl,16.2,5.5,2,CCCCCl
CCC(C)Cl,15.8,7.6,2,CCC(C)Cl
C1CCC(=O)C(C1)Cl,18.5,13,5.1,O=C1CCCCC1Cl
C1CC1Cl,17.6,7.2,2.2,ClC1CC1
C(F)(F)Cl,12.3,6.3,5.7,FC(F)Cl
CN(C)Cl,16,7.8,7.9,CN(C)Cl
CC(=O)OCCCl,16.7,9.6,8.8,CC(=O)OCCCl
C1=CC=C(C=C1)CCCl,19.3,6.3,2.2,ClCCc1ccccc1
CCOCCCl,16.3,7.9,4.6,CCOCCCl
CCSCCCl,17.2,5,6.1,CCSCCCl
C1=CC=C(C(=C1)F)Cl,19.4,8.7,2,Fc1ccccc1Cl
C(Cl)(Cl)Cl,17.8,3.1,5.7,ClC(Cl)Cl
CCCCCCCl,16.1,6.2,1.7,CCCCCCCl
C(OCCl)Cl,17.2,4.9,6.6,ClCOCCl
C(SCCl)Cl,16.6,6.4,2,ClCSCCl
C1=CC=C2C(=C1)C=CC=C2Cl,19.9,4.9,2.5,Clc1cccc2ccccc12
C1=CC(=CC=C1[N+](=O)[O-])Cl,20.4,9.6,4.2,O=[N+]([O-])c1ccc(Cl)cc1
C([N+](=O)[O-])Cl,17.4,13.5,5.5,O=[N+]([O-])CCl
C1=CC=C(C(=C1)O)Cl,20.3,5.5,13.9,Oc1ccccc1Cl
C([N+](=O)[O-])(Cl)(Cl)Cl,17.6,6.8,7,O=[N+]([O-])C(Cl)(Cl)Cl
C=CC(=C)Cl,16.1,5.4,2.1,C=CC(=C)Cl
C=C(C=O)Cl,17.1,12.9,8.1,C=C(Cl)C=O
CC=CCl,15.3,6.9,2.2,CC=CCl
C(CCl)C=O,17,13.3,8.2,O=CCCCl
C(CCl)C#N,17.3,15.9,6.1,N#CCCCl
C#CCCl,16.7,7.4,2.3,C#CCCl
C=CC1=CC=C(C=C1)Cl,18.7,4.3,3.9,C=Cc1ccc(Cl)cc1
C=CC1=CC=CC=C1Cl,18.7,4.7,3.9,C=Cc1ccccc1Cl
C1=CSC(=C1)Cl,19.2,6.2,8,Clc1cccs1
C1=CC(=CC=C1S)Cl,20.8,8.6,10.6,Sc1ccc(Cl)cc1
C1=CC=C(C(=C1)S)Cl,20.2,7,10,Sc1ccccc1Cl
CC1=CC=C(C=C1)Cl,19.1,6.2,2.6,Cc1ccc(Cl)cc1
C1=CC=C(C=C1)C=CC=O,19.4,12.4,6.2,O=CC=Cc1ccccc1
C1=CC=C(C=C1)C=CC(=O)O,19.1,3.9,10.6,O=C(O)C=Cc1ccccc1
C1=CC=C(C=C1)C=CCO,19.1,6,13,OCC=Cc1ccccc1
CC1(C2CCC(O1)(CC2)C)C,16.7,4.6,3.4,CC12CCC(CC1)C(C)(C)O2
CC1=CC(=O)OC1=O,19.2,17,11.2,CC1=CC(=O)OC1=O
COC1=C(C=CC(=C1)C=CCO)O,19,7,16.3,COc1cc(C=CCO)ccc1O
C1=CC=C2C(=C1)C=CC(=O)O2,20,12.5,6.7,O=c1ccc2ccccc2o1
C1=CC(=CC=C1C=CCO)O,19.1,7,17.3,OCC=Cc1ccc(O)cc1
CC1=CC(=CC=C1)O,18,5.1,12.9,Cc1cccc(O)c1
CC=CC=O,16.2,14.9,7.4,CC=CC=O
CC=CC(=O)O,16.8,8.7,12,CC=CC(=O)O
C1C=CC(=O)O1,19,19.8,9.6,O=C1C=CCO1
CC=CC#N,16.4,18.8,5.5,CC=CC#N
C(#N)N,15.5,27.6,16.8,N#CN
C(#N)C#N,15.1,11.8,0,N#CC#N
C(#N)Br,18.3,15.2,0,N#CBr
C(#N)Cl,15.6,14.5,0,N#CCl
C1CC(=O)C1,18.3,11.4,5.2,O=C1CCC1
C1CCCCC(=O)CCCC1,16.8,8,4.1,O=C1CCCCCCCCC1
C1CCCC(=O)CC1,17.2,10.6,4.8,O=C1CCCCCC1
C1CCCCC1,16.8,0,0.2,C1CCCCC1
